parameter_A,module_A,parameter_B,module_B,shared_suffix,stage_relationship_pattern,direction_higher_A_minus_B,effect_range_yield_pct,shape_fold_consistency,direction_fold_consistency,evidence_label,reason
SIN_ET_DC_RF_Vg_optt2,SIN,THIN_ET_DC_RF_Vg_optt2,THIN,DC_RF_Vg_optt2,threshold,n/a,0.7742,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vg_max_Vd,SIN,TOPSIN_ET_DC_RF_Vg_max_Vd,TOPSIN,DC_RF_Vg_max_Vd,complex_nonmonotonic,n/a,1.8595,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_KLV_F_AB_4u,THIN,TOPSIN_ET_KLV_F_AB_4u,TOPSIN,KLV_F_AB_4u,threshold,negative,0.6351,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vp_1,FIC,THIN_ET_DC_RF_Vp_1,THIN,DC_RF_Vp_1,threshold,positive,0.6847,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vp_01,FIC,TOPSIN_ET_DC_RF_Vp_01,TOPSIN,DC_RF_Vp_01,threshold,negative,1.2492,5/5,1/5,MODERATE,"Shape consistent in 5/5 folds, direction in 1/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vg_optt1,SIN,THIN_ET_DC_RF_Vg_optt1,THIN,DC_RF_Vg_optt1,monotonic,positive,1.3765,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vg_optt2,FIC,THIN_ET_DC_RF_Vg_optt2,THIN,DC_RF_Vg_optt2,monotonic,negative,0.9864,0/5,3/5,MODERATE,"Shape consistent in 0/5 folds, direction in 3/5 -- majority but not unanimous."
ANODE_ET_Rsh_an_ct2_OW_CR,ANODE,THIN_ET_Rsh_an_ct2_OW_CR,THIN,Rsh_an_ct2_OW_CR,threshold,negative,0.6036,3/5,0/5,MODERATE,"Shape consistent in 3/5 folds, direction in 0/5 -- majority but not unanimous."
BRGM_ET_C100,BRGM,THIN_ET_C100,THIN,C100,threshold,n/a,1.1206,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
THIN_ET_DC_RF_Vt_gs,THIN,TOPSIN_ET_DC_RF_Vt_gs,TOPSIN,DC_RF_Vt_gs,threshold,negative,0.9592,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
ANODE_ET_Ran_con_2_OW_CR,ANODE,THIN_ET_Ran_con_2_OW_CR,THIN,Ran_con_2_OW_CR,threshold,negative,0.6774,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
ANODE_ET_Ran_con_2,ANODE,THIN_ET_Ran_con_2,THIN,Ran_con_2,threshold,n/a,0.7675,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
OHMIC_ET_Ran_con_3,OHMIC,THIN_ET_Ran_con_3,THIN,Ran_con_3,threshold,n/a,0.8852,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vt_gs,FIC,THIN_ET_DC_RF_Vt_gs,THIN,DC_RF_Vt_gs,monotonic,positive,0.9425,1/5,4/5,MODERATE,"Shape consistent in 1/5 folds, direction in 4/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vt_gs,FIC,TOPSIN_ET_DC_RF_Vt_gs,TOPSIN,DC_RF_Vt_gs,threshold,n/a,0.7519,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vp_1,SIN,THIN_ET_DC_RF_Vp_1,THIN,DC_RF_Vp_1,threshold,n/a,0.709,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
ANODE_ET_Rsh_an_ct2,ANODE,THIN_ET_Rsh_an_ct2,THIN,Rsh_an_ct2,threshold,positive,0.3986,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous."
SIN_ET_DC_RF_Ids_m0p2,SIN,TOPSIN_ET_DC_RF_Ids_m0p2,TOPSIN,DC_RF_Ids_m0p2,threshold,n/a,0.5384,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_Vdg_max,FIC,TOPSIN_ET_Vdg_max,TOPSIN,Vdg_max,threshold,negative,0.6624,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
THIN_ET_DC_RF_Gm_max,THIN,TOPSIN_ET_DC_RF_Gm_max,TOPSIN,DC_RF_Gm_max,threshold,positive,1.0953,4/5,2/5,MODERATE,"Shape consistent in 4/5 folds, direction in 2/5 -- majority but not unanimous."
SIN_ET_DC_RF_Gm_max,SIN,THIN_ET_DC_RF_Gm_max,THIN,DC_RF_Gm_max,threshold,positive,0.8052,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Id_gm_max,FIC,TOPSIN_ET_DC_RF_Id_gm_max,TOPSIN,DC_RF_Id_gm_max,threshold,negative,0.8074,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Id_gm_max,FIC,THIN_ET_DC_RF_Id_gm_max,THIN,DC_RF_Id_gm_max,threshold,negative,0.7823,4/5,3/5,MODERATE,"Shape consistent in 4/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_RF_Gm_max,FIC,SIN_ET_DC_RF_Gm_max,SIN,DC_RF_Gm_max,threshold,negative,0.4948,4/5,1/5,MODERATE,"Shape consistent in 4/5 folds, direction in 1/5 -- majority but not unanimous."
SIN_ET_DC_RF_Gm_0,SIN,THIN_ET_DC_RF_Gm_0,THIN,DC_RF_Gm_0,threshold,negative,0.5803,3/5,2/5,MODERATE,"Shape consistent in 3/5 folds, direction in 2/5 -- majority but not unanimous."
SIN_ET_DC_RF_Vt_gs,SIN,THIN_ET_DC_RF_Vt_gs,THIN,DC_RF_Vt_gs,monotonic,positive,1.3213,0/5,4/5,MODERATE,"Shape consistent in 0/5 folds, direction in 4/5 -- majority but not unanimous."
FIC_ET_DC_PIV_Ids0_QP3,FIC,TOPSIN_ET_DC_PIV_Ids0_QP3,TOPSIN,DC_PIV_Ids0_QP3,threshold,n/a,0.5965,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_Vp_1,FIC,TOPSIN_ET_Vp_1,TOPSIN,Vp_1,threshold,n/a,0.506,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
SIN_ET_DC_RF_n_gd,SIN,THIN_ET_DC_RF_n_gd,THIN,DC_RF_n_gd,threshold,negative,0.8048,3/5,0/5,MODERATE,"Shape consistent in 3/5 folds, direction in 0/5 -- majority but not unanimous."
THIN_ET_DC_RF_n_gs,THIN,TOPSIN_ET_DC_RF_n_gs,TOPSIN,DC_RF_n_gs,threshold,n/a,1.2222,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
SIN_ET_DC_RF_n_gd,SIN,TOPSIN_ET_DC_RF_n_gd,TOPSIN,DC_RF_n_gd,threshold,n/a,0.7958,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
SIN_ET_DC_RF_Idss,SIN,TOPSIN_ET_DC_RF_Idss,TOPSIN,DC_RF_Idss,threshold,n/a,0.8543,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_PIV_Gate_Lag_0,FIC,TOPSIN_ET_DC_PIV_Gate_Lag_0,TOPSIN,DC_PIV_Gate_Lag_0,complex_nonmonotonic,n/a,1.9896,3/5,3/5,MODERATE,"Shape consistent in 3/5 folds, direction in 3/5 -- majority but not unanimous."
FIC_ET_DC_PIV_Ids0_QP2,FIC,TOPSIN_ET_DC_PIV_Ids0_QP2,TOPSIN,DC_PIV_Ids0_QP2,threshold,negative,0.5809,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
FIC_ET_DC_RF_n_gs,FIC,THIN_ET_DC_RF_n_gs,THIN,DC_RF_n_gs,threshold,negative,0.9475,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
THIN_ET_DC_RF_n_gd,THIN,TOPSIN_ET_DC_RF_n_gd,TOPSIN,DC_RF_n_gd,threshold,negative,0.3552,3/5,1/5,MODERATE,"Shape consistent in 3/5 folds, direction in 1/5 -- majority but not unanimous."
FIC_ET_DC_RF_Vp_1,FIC,SIN_ET_DC_RF_Vp_1,SIN,DC_RF_Vp_1,threshold,positive,0.6795,2/5,1/5,WEAK,"Shape consistent in 2/5 folds, direction in 1/5 -- inconsistent."
BRGM_ET_ABVIETCH,BRGM,TOPSIN_ET_ABVIETCH,TOPSIN,ABVIETCH,complex_nonmonotonic,n/a,2.2078,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
SIN_ET_DC_RF_Vds_max_0p1mA,SIN,THIN_ET_DC_RF_Vds_max_0p1mA,THIN,DC_RF_Vds_max_0p1mA,inverted_U,n/a,1.5901,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
BRGM_ET_C200_0,BRGM,THIN_ET_C200_0,THIN,C200_0,complex_nonmonotonic,n/a,1.6006,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
SIN_ET_DC_RF_Vp_01,SIN,THIN_ET_DC_RF_Vp_01,THIN,DC_RF_Vp_01,threshold,n/a,1.3339,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_Rc_f_tn_23,FIC,THIN_ET_Rc_f_tn_23,THIN,Rc_f_tn_23,threshold,positive,0.9464,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
THIN_ET_R114,THIN,TOPSIN_ET_R114,TOPSIN,R114,threshold,n/a,0.81,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_R114,FIC,TOPSIN_ET_R114,TOPSIN,R114,threshold,negative,1.1118,2/5,1/5,WEAK,"Shape consistent in 2/5 folds, direction in 1/5 -- inconsistent."
FIC_ET_R_f_tn_2,FIC,TOPSIN_ET_R_f_tn_2,TOPSIN,R_f_tn_2,threshold,positive,0.7966,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_R214,FIC,OHMIC_ET_R214,OHMIC,R214,threshold,positive,0.381,2/5,1/5,WEAK,"Shape consistent in 2/5 folds, direction in 1/5 -- inconsistent."
FIC_ET_DC_RF_Vbgs_0p01,FIC,TOPSIN_ET_DC_RF_Vbgs_0p01,TOPSIN,DC_RF_Vbgs_0p01,complex_nonmonotonic,n/a,1.6531,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
THIN_ET_DC_RF_Vbgs_0p01,THIN,TOPSIN_ET_DC_RF_Vbgs_0p01,TOPSIN,DC_RF_Vbgs_0p01,complex_nonmonotonic,n/a,1.9878,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
SIN_ET_DC_RF_Vbgs_0p1,SIN,TOPSIN_ET_DC_RF_Vbgs_0p1,TOPSIN,DC_RF_Vbgs_0p1,complex_nonmonotonic,n/a,1.1001,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_DC_RF_Vbin_gs,FIC,THIN_ET_DC_RF_Vbin_gs,THIN,DC_RF_Vbin_gs,complex_nonmonotonic,n/a,1.0062,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_DC_RF_Vboff,FIC,TOPSIN_ET_DC_RF_Vboff,TOPSIN,DC_RF_Vboff,threshold,positive,0.5964,2/5,0/5,WEAK,"Shape consistent in 2/5 folds, direction in 0/5 -- inconsistent."
FIC_ET_Ids_m2,FIC,TOPSIN_ET_Ids_m2,TOPSIN,Ids_m2,complex_nonmonotonic,n/a,1.4,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_DC_RF_Vboff,FIC,SIN_ET_DC_RF_Vboff,SIN,DC_RF_Vboff,threshold,n/a,0.5204,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
THIN_ET_DC_RF_Vbin_gs,THIN,TOPSIN_ET_DC_RF_Vbin_gs,TOPSIN,DC_RF_Vbin_gs,monotonic,negative,0.6802,0/5,2/5,WEAK,"Shape consistent in 0/5 folds, direction in 2/5 -- inconsistent."
THIN_ET_OHMC,THIN,TOPSIN_ET_OHMC,TOPSIN,OHMC,threshold,positive,1.0472,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
SIN_ET_DC_RF_Vg_gm_max,SIN,THIN_ET_DC_RF_Vg_gm_max,THIN,DC_RF_Vg_gm_max,threshold,positive,0.5787,2/5,1/5,WEAK,"Shape consistent in 2/5 folds, direction in 1/5 -- inconsistent."
CATHODE_ET_Rcat_cn_1,CATHODE,THIN_ET_Rcat_cn_1,THIN,Rcat_cn_1,threshold,negative,0.6334,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
BRGM_ET_KLV_F_M1_4u,BRGM,TOPSIN_ET_KLV_F_M1_4u,TOPSIN,KLV_F_M1_4u,complex_nonmonotonic,n/a,2.0607,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_DC_PIV_Ids1_QP2,FIC,TOPSIN_ET_DC_PIV_Ids1_QP2,TOPSIN,DC_PIV_Ids1_QP2,threshold,n/a,0.3416,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_DC_RF_Idss,FIC,SIN_ET_DC_RF_Idss,SIN,DC_RF_Idss,monotonic,positive,1.1367,0/5,2/5,WEAK,"Shape consistent in 0/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_DC_RF_Imax,FIC,SIN_ET_DC_RF_Imax,SIN,DC_RF_Imax,threshold,positive,0.5242,2/5,1/5,WEAK,"Shape consistent in 2/5 folds, direction in 1/5 -- inconsistent."
FIC_ET_sh_GA142,FIC,OHMIC_ET_sh_GA142,OHMIC,sh_GA142,inverted_U,n/a,1.4724,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
THIN_ET_sh_f_tn_23,THIN,TOPSIN_ET_sh_f_tn_23,TOPSIN,sh_f_tn_23,complex_nonmonotonic,n/a,1.2666,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_TANR,FIC,THIN_ET_TANR,THIN,TANR,threshold,n/a,0.9999,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_Vg_Vds_max,FIC,TOPSIN_ET_Vg_Vds_max,TOPSIN,Vg_Vds_max,monotonic,positive,1.0663,0/5,2/5,WEAK,"Shape consistent in 0/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_DC_RF_Gm_0,FIC,THIN_ET_DC_RF_Gm_0,THIN,DC_RF_Gm_0,threshold,negative,0.5935,2/5,1/5,WEAK,"Shape consistent in 2/5 folds, direction in 1/5 -- inconsistent."
OHMIC_ET_Ran_con_2,OHMIC,THIN_ET_Ran_con_2,THIN,Ran_con_2,threshold,n/a,0.7086,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
THIN_ET_DC_RF_Vt_gd,THIN,TOPSIN_ET_DC_RF_Vt_gd,TOPSIN,DC_RF_Vt_gd,threshold,n/a,0.733,2/5,2/5,WEAK,"Shape consistent in 2/5 folds, direction in 2/5 -- inconsistent."
FIC_ET_DC_RF_Vt_gs,FIC,SIN_ET_DC_RF_Vt_gs,SIN,DC_RF_Vt_gs,complex_nonmonotonic,n/a,0.8758,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
SIN_ET_DC_RF_Vt_gd,SIN,TOPSIN_ET_DC_RF_Vt_gd,TOPSIN,DC_RF_Vt_gd,complex_nonmonotonic,n/a,1.1374,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vt_gd,FIC,THIN_ET_DC_RF_Vt_gd,THIN,DC_RF_Vt_gd,inverted_U,n/a,1.1847,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vt_gd,FIC,SIN_ET_DC_RF_Vt_gd,SIN,DC_RF_Vt_gd,complex_nonmonotonic,n/a,0.9902,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_DC_RF_Vp_1,THIN,TOPSIN_ET_DC_RF_Vp_1,TOPSIN,DC_RF_Vp_1,complex_nonmonotonic,n/a,0.9876,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Vp_1,SIN,TOPSIN_ET_DC_RF_Vp_1,TOPSIN,DC_RF_Vp_1,U_shape,n/a,1.3097,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
ANODE_ET_Rc_an_ct2_OW_CR,ANODE,THIN_ET_Rc_an_ct2_OW_CR,THIN,Rc_an_ct2_OW_CR,inverted_U,n/a,1.5245,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
OHMIC_ET_Rc_an_ct2,OHMIC,THIN_ET_Rc_an_ct2,THIN,Rc_an_ct2,complex_nonmonotonic,n/a,1.5144,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
ANODE_ET_Rc_an_ct2,ANODE,THIN_ET_Rc_an_ct2,THIN,Rc_an_ct2,complex_nonmonotonic,n/a,1.7673,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
ANODE_ET_Rc_an_ct2,ANODE,OHMIC_ET_Rc_an_ct2,OHMIC,Rc_an_ct2,complex_nonmonotonic,n/a,0.9507,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
ANODE_ET_Ran_con_3,ANODE,THIN_ET_Ran_con_3,THIN,Ran_con_3,complex_nonmonotonic,n/a,0.708,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
ANODE_ET_Ran_con_3,ANODE,OHMIC_ET_Ran_con_3,OHMIC,Ran_con_3,complex_nonmonotonic,n/a,0.6854,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
ANODE_ET_Ran_con_2,ANODE,OHMIC_ET_Ran_con_2,OHMIC,Ran_con_2,flat,n/a,0.5475,2/5,2/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
ANODE_ET_Ran_con_1_OW_CR,ANODE,THIN_ET_Ran_con_1_OW_CR,THIN,Ran_con_1_OW_CR,monotonic,positive,0.949,0/5,1/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 1/5 folds.
SIN_ET_DC_RF_Id_gm_max,SIN,TOPSIN_ET_DC_RF_Id_gm_max,TOPSIN,DC_RF_Id_gm_max,complex_nonmonotonic,n/a,0.7811,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Id_gm_max,SIN,THIN_ET_DC_RF_Id_gm_max,THIN,DC_RF_Id_gm_max,inverted_U,n/a,1.3405,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Id_gm_max,FIC,SIN_ET_DC_RF_Id_gm_max,SIN,DC_RF_Id_gm_max,flat,n/a,0.3815,4/5,4/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
FIC_ET_DC_RF_Gm_max,FIC,THIN_ET_DC_RF_Gm_max,THIN,DC_RF_Gm_max,complex_nonmonotonic,n/a,0.7685,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_DC_RF_Gm_m0p2,THIN,TOPSIN_ET_DC_RF_Gm_m0p2,TOPSIN,DC_RF_Gm_m0p2,complex_nonmonotonic,n/a,1.0019,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Gm_m0p2,SIN,TOPSIN_ET_DC_RF_Gm_m0p2,TOPSIN,DC_RF_Gm_m0p2,complex_nonmonotonic,n/a,0.519,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Gm_m0p2,SIN,THIN_ET_DC_RF_Gm_m0p2,THIN,DC_RF_Gm_m0p2,U_shape,n/a,1.2386,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Gm_m0p2,FIC,TOPSIN_ET_DC_RF_Gm_m0p2,TOPSIN,DC_RF_Gm_m0p2,complex_nonmonotonic,n/a,0.9552,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Gm_m0p2,FIC,THIN_ET_DC_RF_Gm_m0p2,THIN,DC_RF_Gm_m0p2,complex_nonmonotonic,n/a,0.7821,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Gm_m0p2,FIC,SIN_ET_DC_RF_Gm_m0p2,SIN,DC_RF_Gm_m0p2,U_shape,n/a,0.8537,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_DC_RF_Gm_0,THIN,TOPSIN_ET_DC_RF_Gm_0,TOPSIN,DC_RF_Gm_0,flat,n/a,0.337,3/5,3/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
SIN_ET_DC_RF_Gm_0,SIN,TOPSIN_ET_DC_RF_Gm_0,TOPSIN,DC_RF_Gm_0,complex_nonmonotonic,n/a,0.761,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Gm_0,FIC,TOPSIN_ET_DC_RF_Gm_0,TOPSIN,DC_RF_Gm_0,flat,n/a,0.2262,3/5,3/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
FIC_ET_DC_PIV_Ids1_QP3,FIC,TOPSIN_ET_DC_PIV_Ids1_QP3,TOPSIN,DC_PIV_Ids1_QP3,complex_nonmonotonic,n/a,0.9859,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_PIV_Ids1_QP1,FIC,TOPSIN_ET_DC_PIV_Ids1_QP1,TOPSIN,DC_PIV_Ids1_QP1,complex_nonmonotonic,n/a,1.7407,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_PIV_Ids0_QP1,FIC,TOPSIN_ET_DC_PIV_Ids0_QP1,TOPSIN,DC_PIV_Ids0_QP1,U_shape,n/a,1.0692,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_PIV_Gate_Lag_1,FIC,TOPSIN_ET_DC_PIV_Gate_Lag_1,TOPSIN,DC_PIV_Gate_Lag_1,complex_nonmonotonic,n/a,1.037,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
SIN_ET_DC_RF_Imax,SIN,THIN_ET_DC_RF_Imax,THIN,DC_RF_Imax,complex_nonmonotonic,n/a,0.7428,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_DC_RF_Idss,THIN,TOPSIN_ET_DC_RF_Idss,TOPSIN,DC_RF_Idss,complex_nonmonotonic,n/a,0.5485,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
SIN_ET_DC_RF_Idss,SIN,THIN_ET_DC_RF_Idss,THIN,DC_RF_Idss,complex_nonmonotonic,n/a,0.8417,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Idss,FIC,THIN_ET_DC_RF_Idss,THIN,DC_RF_Idss,complex_nonmonotonic,n/a,1.1929,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
THIN_ET_DC_RF_Ids_m0p2,THIN,TOPSIN_ET_DC_RF_Ids_m0p2,TOPSIN,DC_RF_Ids_m0p2,complex_nonmonotonic,n/a,0.8255,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_Ids_m0p2,SIN,THIN_ET_DC_RF_Ids_m0p2,THIN,DC_RF_Ids_m0p2,threshold,n/a,0.4268,1/5,1/5,INCONCLUSIVE,Shape/direction agree in only 1/5 and 1/5 folds.
FIC_ET_DC_RF_Ids_m0p2,FIC,TOPSIN_ET_DC_RF_Ids_m0p2,TOPSIN,DC_RF_Ids_m0p2,complex_nonmonotonic,n/a,1.5729,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_PIV_Drain_Lag_0,FIC,TOPSIN_ET_DC_PIV_Drain_Lag_0,TOPSIN,DC_PIV_Drain_Lag_0,complex_nonmonotonic,n/a,1.352,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_TANR,FIC,TOPSIN_ET_TANR,TOPSIN,TANR,flat,n/a,0.4652,4/5,4/5,INCONCLUSIVE,Main-split shape is 'flat' -- no stable evidence.
FIC_ET_sh_GA142,FIC,THIN_ET_sh_GA142,THIN,sh_GA142,inverted_U,n/a,0.5648,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_sh_f_tn_23,FIC,TOPSIN_ET_sh_f_tn_23,TOPSIN,sh_f_tn_23,complex_nonmonotonic,n/a,0.9437,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_sh_f_tn_23,FIC,THIN_ET_sh_f_tn_23,THIN,sh_f_tn_23,inverted_U,n/a,1.4546,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
FIC_ET_DC_RF_Vbgd_0p01,FIC,THIN_ET_DC_RF_Vbgd_0p01,THIN,DC_RF_Vbgd_0p01,complex_nonmonotonic,n/a,1.5411,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
SIN_ET_DC_RF_n_gs,SIN,TOPSIN_ET_DC_RF_n_gs,TOPSIN,DC_RF_n_gs,complex_nonmonotonic,n/a,1.3816,0/5,0/5,INCONCLUSIVE,Shape/direction agree in only 0/5 and 0/5 folds.
