parameter_A,parameter_B,evidence_label,interaction_incremental_r2,fold_reproducibility,quality_score,evidence_tier_A,evidence_tier_B,admission_rule
MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MEASURE_ET_CapPARCAP_0,MODERATE,0.0369,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Bin,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,STRONG,0.0766,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_CapFICM1_0,MEASURE_ET_C20_0,STRONG,0.1775,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.0941,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Diode_Rs_9p5,MEASURE_ET_lkg_CapPARCAP,STRONG,0.0833,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
OHMIC_ET_R114,MEASURE_ET_DC_SMALL_Ids_m0p2,MODERATE,0.0353,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m9V_mA_mm,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.2302,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_HIRS,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MODERATE,0.0213,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_50_at20V,FIC_ET_lkg_SY8_80,STRONG,0.1954,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIN_FIN_Alignment_FIN_to_ohmic_alignment,TOPSIN_ET_OHMC,STRONG,0.1053,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_RGAN2,STRONG,0.092,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vp_01,MEASURE_ET_lkg_PAD_10,STRONG,0.1025,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
CATHODE_ET_Rcat_cn_3_OW_ST,TOPSIN_ET_R_f_hr_3,STRONG,0.0587,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap3,MEASURE_ET_DC_RF2_S11dB_26GHz,STRONG,0.0628,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vg_optt2,TOPSIN_ET_lkg_C300pf,STRONG,0.0321,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_Probe_Number,CATHODE_ET_Rcat_cn_3_OW_ST,STRONG,0.1027,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_an_ct2,THIN_ET_DC_RF_n_gd,MODERATE,0.0341,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,MEASURE_ET_lkg_CapFICM1,STRONG,0.0696,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
OHMIC_ET_sh_GA142,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0339,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_PIV_Ids0_QP1,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,STRONG,0.0339,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Ran_con_1,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,STRONG,0.1161,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_S21_25G_Before,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,MODERATE,0.0115,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_5,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.0898,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_CapPARCAP_0,MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_neg_FPSD3p2,STRONG,0.0507,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.1621,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_C200,MEASURE_ET_lkg_C385pf,STRONG,0.128,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_lkg_5,MEASURE_ET_Cap2pf_0,MODERATE,0.1012,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Id_gm_max,MaskSetSupplyChipsCount,STRONG,0.0858,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_Cap2pf,STRONG,0.0367,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,SIN_ET_DC_RF_Ids_m0p2,STRONG,0.0337,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbgs_0p1,MEASURE_ET_DC_RF2_S21ang_26GHz,STRONG,0.0564,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_C300,MaskSetSupplyChipsCount,STRONG,0.0787,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Ran_con_2,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,MODERATE,0.0327,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Vbgd1_Vd3,MEASURE_ET_Vbkdn_Cap100,STRONG,0.1264,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF2_S21ang_26GHz,TOPSIN_ET_lkg_C450pf,STRONG,0.0817,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Imax,MEASURE_ET_lkg_50_at20V,STRONG,0.0599,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Vbgd1_Vd3,MEASURE_ET_lkg_Cap_USV,STRONG,0.0752,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300,MEASURE_ET_DC_RF_Vboff,STRONG,0.0439,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_max_Ig_after,FIC_ET_R_f_tn_1,STRONG,0.0663,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_TR_1F,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.0682,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_Cap1,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.1057,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_R_f_tn_1,TOPSIN_ET_lkg_CapFICM1,STRONG,0.0443,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_50,MEASURE_ET_Rcat_cn_2,STRONG,0.0712,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_CapPARCAP,TOPSIN_ET_Vds_max,STRONG,0.0965,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vbgs_0p1,FIC_ET_DC_RF_Vp_1,STRONG,0.0744,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Ids_m0p2,MEASURE_ET_DC_RF_Vbon_min,STRONG,0.0546,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vg_max_Vd,MEASURE_ET_DC_PIV_Ids0_QP1,MODERATE,0.0835,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Vdg_max,MEASURE_ET_DC_RF_Gm_m0p2_W,STRONG,0.0317,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_C300pf,MEASURE_ET_lkg_100,STRONG,0.108,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,MEASURE_ET_DC_PIV_Ids0_QP1,STRONG,0.0899,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,MODERATE,0.0435,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
CATHODE_ET_Rcat_cn_2,TOPSIN_ET_sh_GA144,STRONG,0.095,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_C500pf,MEASURE_ET_lkg_5,STRONG,0.1733,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Vg_optt1,TOPSIN_ET_R_f_hr_3,STRONG,0.0336,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_Cap_USV,THIN_ET_DC_RF_Vg_optt2,STRONG,0.0396,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,MEASURE_ET_DC_Diode_D_leak_65V,STRONG,0.1309,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C100C175pf,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,MODERATE,0.0203,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Cap2pf,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,STRONG,0.1079,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgs1,TOPSIN_ET_Load_Pull_Id_ini,STRONG,0.0995,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_10,OHMIC_ET_Rc_OG142,STRONG,0.0626,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300pf,MEASURE_ET_Load_Pull_Pout_W_mm_last,STRONG,0.028,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_second_FPSD3p2,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.1353,5/5,5.7,LOW_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_lkg_PAD_10,MEASURE_ET_DC_RF_Id_Vbon_min,STRONG,0.0562,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_CapFICM1,SIN_ET_DC_RF_Vg_optt1,MODERATE,0.0366,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_cat_ct2,FIC_ET_DC_RF_Vds_max,STRONG,0.0656,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_5,MEASURE_ET_lkg_CapPARCAP,STRONG,0.123,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vdg_max_0p1mA,TOPSIN_ET_DC_PIV_Ids0_QP3,MODERATE,0.0338,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RF_Modeling_Vth,THIN_ET_C_AN_2,MODERATE,0.0325,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_PAD_10,MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,STRONG,0.0851,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_PIV_Drain_Lag_0,STRONG,0.0624,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_C450pf,MEASURE_ET_DC_RF_CF_S12_Mag_L1002,STRONG,0.0401,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Cap2pf,MEASURE_ET_LT_SEC_Ileak_m16p5V_mA_mm,STRONG,0.0723,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_Big_Vg_optt2,STRONG,0.1351,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vg_gm_max,MEASURE_ET_Cap2pf_0,STRONG,0.0665,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Vbpin,THIN_ET_Ran_con_1,MODERATE,0.0304,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C300pf,MEASURE_ET_Load_Pull_Pout_W_last,MODERATE,0.0295,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vp_1,MEASURE_ET_RF_Modeling_Fmax,STRONG,0.0848,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300,SIN_ET_DC_RF_Vbgd_0p1,STRONG,0.1088,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_OG142_GN,TOPSIN_ET_DC_RF_Vboff,MODERATE,0.0167,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_DC_RF_Id_Vbon_min,STRONG,0.0859,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C100C300pf,MEASURE_ET_R414,STRONG,0.1006,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_HIRS,MEASURE_ET_DC_RF_Max_S11_Freq_L2180,MODERATE,0.0768,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rsh_cat_c2,TOPSIN_ET_R_f_hr_3,MODERATE,0.0188,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_Cap1,MEASURE_ET_DC_PIV_Ids0_QP1,MODERATE,0.0347,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,THIN_ET_Ran_con_3_OW_CR,STRONG,0.0333,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vbgs1,MEASURE_ET_DC_RF_Gm_m0p2_W,STRONG,0.0919,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Id_gm_max,MaskSetSupplyChipsCount,MODERATE,0.0635,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_SY8_80,THIN_ET_Rcat_cn_3,MODERATE,0.031,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_cat_ct2,TOPSIN_ET_DC_PIV_Ids0_QP2,STRONG,0.0976,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_C100Cap1pf,THIN_ET_TF_AB_2,MODERATE,0.074,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_50,THIN_ET_Ran_con_2,STRONG,0.0954,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Load_Pull_GL_set,MEASURE_ET_lkg_Cap1,MODERATE,0.0131,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Load_Pull_Pout_W_last,SIN_ET_DC_RF_Vbgd_0p1,STRONG,0.0267,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
ANODE_ET_Rc_an_ct2_OW_CR,THIN_ET_lkg_PAD_10,STRONG,0.0768,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_OG142_GN,THIN_ET_DC_RF_Vp_1,MODERATE,0.0472,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_50,TOPSIN_ET_CapFICM1,STRONG,0.1194,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_RF_Vp_01,MEASURE_ET_lkg_USV_Cap,STRONG,0.0692,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vdg_max,MEASURE_ET_DC_SEC_Vp_1mA,STRONG,0.0681,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rc_f_hr_23,THIN_ET_Rc_TF_AB_2,STRONG,0.1057,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_70,MEASURE_ET_RF_Modeling_S21_25G_Before,STRONG,0.0691,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_GATE_ET_Rc_an_ct2,MEASURE_ET_DC_RF_K_W,STRONG,0.0996,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_70,MEASURE_ET_DC_Stress_Id_stress_before,STRONG,0.0645,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_100,MEASURE_ET_Rcat_cn_2,STRONG,0.0784,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Ran_con_1,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,STRONG,0.032,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,MEASURE_ET_Rc_OG142_GN,STRONG,0.085,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_n_gd,MEASURE_ET_DC_RF_Gm_m0p2_W,MODERATE,0.0227,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgd_0p1,SIN_ET_DC_RF_Gm_0,STRONG,0.0639,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_PIV_Ids0_QP3,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,STRONG,0.066,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Rcat_cn_1,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,STRONG,0.0428,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_70,TOPSIN_ET_Rc_OG144,STRONG,0.0377,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_Bad_Gates,FIC_ET_DC_RF_Imax,MODERATE,0.0372,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Diode_S11_dB_forw,MEASURE_ET_DC_SEC_S_Vp_1_mA_mm_first_SD3p5,STRONG,0.1331,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Vg_max_Vd,FIC_ET_lkg_SY07_10,STRONG,0.0277,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Big_S12dB_10GHz,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,STRONG,0.0836,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
BRGM_ET_i5021_3,FIN_FIN_Alignment_FIN_to_ohmic_alignment,STRONG,0.116,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_Ran_con_3_OW_CR,MEASURE_ET_DC_Big_Vg_optt2,STRONG,0.0329,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_TF_AB_1,MEASURE_ET_lkg_5,STRONG,0.0782,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_USV_Cap,FIC_ET_lkg_SY07_10,STRONG,0.1183,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_RF_Min_S21_Freq_L1018,SIN_ET_DC_RF_Vbgd_0p1,MODERATE,0.0572,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,MEASURE_ET_lkg_C300pf,STRONG,0.1031,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_sh_f_tn_23,TOPSIN_ET_lkg_C450pf,MODERATE,0.0731,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rc_an_ct2,FIC_ET_DC_RF_Vds_max,MODERATE,0.0374,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_Rc_f_tn_23,THIN_ET_lkg_PAD_10,STRONG,0.0667,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_C100Cap2pf,TOPSIN_ET_lkg_5,STRONG,0.0794,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_Rcat_cn_1_OW_ST,MEASURE_ET_LT_SEC_Ileak_m5p5V_mA_mm,STRONG,0.0562,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_SY07_10,MEASURE_ET_Rc_an_ct2_OW_CR,STRONG,0.0522,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_PIV_Ids0_QP1,STRONG,0.1172,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_S_Ig_cut1_mAmm_neg_SD3p5,TOPSIN_ET_Load_Pull_Id_ini,STRONG,0.0651,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_Vgs_back_0p5V,MEASURE_ET_LT_SEC_Ileak_m10p5V_mA_mm,STRONG,0.1481,5/5,6.0,MEDIUM_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
THIN_ET_DC_RF_Gm_max,MEASURE_ET_lkg_50,STRONG,0.0942,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_DC_SEC_X_Id_at_Vboff_mA_mm_SD3p5,MEASURE_ET_HIRS,MODERATE,0.1056,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_C200_0,MEASURE_ET_DC_SMALL_Ids_m0p2,STRONG,0.0739,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_RGAN1,MEASURE_ET_HIRS,STRONG,0.0602,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_lkg_5,THIN_ET_lkg_70_at20V,STRONG,0.1571,5/5,5.7,HIGH_EVIDENCE,LOW_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_CapPARCAP_0,TOPSIN_ET_lkg_CapFICM1,MODERATE,0.0265,3/5,5.1,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
FIC_ET_DC_RF_Ids_m0p2,THIN_ET_DC_RF_Vp_1,STRONG,0.0648,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
SIN_ET_DC_RF_Vbin_gd,MEASURE_ET_lkg_5,STRONG,0.0935,5/5,6.5,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
MEASURE_ET_lkg_C300,MEASURE_ET_lkg_C175pf,STRONG,0.1205,5/5,6.0,HIGH_EVIDENCE,MEDIUM_EVIDENCE,G2_hub_feature_edge
FIC_ET_Probe_Number,MEASURE_ET_DC_RF_Max_S11_Freq_L1018,MODERATE,0.0245,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
TOPSIN_ET_DC_SMALL_Vbgs1,OHMIC_ET_OHMC,MODERATE,0.0178,4/5,5.3,HIGH_EVIDENCE,HIGH_EVIDENCE,G2_hub_feature_edge
