parameter_A,parameter_B,channels,n_channels,source,evidence_tier_A,evidence_tier_B
OHMIC_ET_R114,MEASURE_ET_DC_RF_K_W,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_RF_Vt_gd,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_DC_RF_Vbgs_0p1,MEASURE_ET_C300FB_0,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_SEC_S_Id_mA_mm_at_Vg3_SD3p5,FIC_ET_DC_RF_Imax,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_sh_f_tn_23,MEASURE_ET_C300FM1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_CapFICM1_0,FIC_ET_DC_PIV_Drain_Lag_1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_Rc_cat_ct2,MEASURE_ET_DC_RF_CF_S21_Mag_L1018,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_RF_Modeling_S22ang_10GHz,MEASURE_ET_C300,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
CATHODE_ET_Rcat_cn_2,THIN_ET_DC_RF_Id_gm_max,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_C300FM1,MEASURE_ET_RF_Modeling_Gm,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIN_FIN_Alignment_FIN_to_ohmic_alignment,THIN_ET_Rc_OG142,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_DC_RF_Vbgd_0p01,FIC_ET_DC_RF_Vbgd_0p1,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium,2,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Vt_gs,GATE2_ET_Ids2_Gate_recess_current,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium,2,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_Gm_max,MEASURE_ET_lkg_C385pf,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_RF_K_W,MaskSetSupplyChipsCount,A_high_x_high+D_v3_multichannel_corroborated,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_SEC_X_Vg_at_I1_pos_SD3p5,MEASURE_ET_DC_RF_CF_S21_Mag_L1018,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIN_FIN_Alignment_FIN_to_ohmic_alignment,THIN_ET_Ran_con_2,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_CapPARCAP,MEASURE_ET_C300FM1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_lkg_70,FIC_ET_Gm_max,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_C300M1B_0,MEASURE_ET_LT_SEC_Id_min_mA_mm,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_Gm_max,MEASURE_ET_lkg_50,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_C_CAT_2,MEASURE_ET_lkg_100,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_SEC_Vp_1mA,FIC_ET_lkg_SY07_10,A_high_x_high+D_v3_multichannel_corroborated,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_DC_RF_Idss,MEASURE_ET_R214,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium,2,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Vbon_min,THIN_ET_DC_RF_n_gd,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_lkg_Cap2,MEASURE_ET_C385pf,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIN_FIN_Alignment_FIN_to_ohmic_alignment,CATHODE_ET_Rsh_cat_c2,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_Load_Pull_Id_ini,MEASURE_ET_C300FM1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_CapPARCAP,SIN_ET_DC_RF_Idss,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_SEC_X_Ids_max_norm_FPSD3p2,SIN_ET_DC_RF_Vbgs_0p01,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_Vbpin,MEASURE_ET_DC_RF_Min_S21_Freq_L1018,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_Gate_res,MEASURE_ET_DC_Stress_Idss_before,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium,2,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Bin,TOPSIN_ET_DC_PIV_Drain_Lag_1,A_high_x_high+D_v3_multichannel_corroborated,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_lkg_PAD_10,MEASURE_ET_DC_SEC_Vp_1mA,A_high_x_high+D_v3_multichannel_corroborated,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_SEC_S_Ig_mAmm_at_Vg_cond_neg_FPSD3p2,TOPSIN_ET_DC_PIV_Gate_Lag_0,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium,2,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_DC_RF_Vdg_max_0p1mA,MEASURE_ET_HIRS,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_SMALL_Vbgs_0p01,MEASURE_ET_CapPARCAP_0,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_DC_RF_Vg_max_Vd_0p1mA,SIN_ET_DC_RF_Idss,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_DC_SMALL_Vbgs1,MEASURE_ET_DC_RF_Vboff,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_Vg_gm_max,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_R414,MEASURE_ET_DC_PIV_Ids0_QP1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_Stress_Id_max_Ig_after,MEASURE_ET_DC_RF2_S11dB_26GHz,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_RF_Vboff,MEASURE_ET_DC_SEC_Ids_min_ON,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
BRGM_ET_C200,MEASURE_ET_DC_RF_Max_S11_Ph_L1018,C_broadscreen_outlier_neither_high+M1_nonadditivity_outlier_within_medium,2,v4_reused+v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_ABVIETCH,MEASURE_ET_DC_Stress_Id_stress_before,A_high_x_high+D_v3_multichannel_corroborated,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_CapFICM1,MEASURE_ET_Rcat_cn_1,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_PIV_Ids0_QP1,TOPSIN_ET_DC_RF_Vbgs_0p1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
SIN_ET_DC_RF_Vbin_gs,MEASURE_ET_DC_RF2_S11dB_26GHz,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_RD_K,MEASURE_ET_DC_SMALL_Ids_m0p2,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_lkg_C300,TOPSIN_ET_DC_SMALL_Vbgs_0p01,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_CF_S12_Ph_L1018,FIC_ET_DC_RF_Gm_max,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rcat_cn_3_OW_ST,MEASURE_ET_C300pf_0,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_R214,MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S11ang_26GHz_W,TOPSIN_ET_DC_SMALL_Vbgs_0p1,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_C100C500pf,CATHODE_ET_Rcat_cn_3,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Rc_TF_AB_2,TOPSIN_ET_Cap2pf_0,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_Idss,MEASURE_ET_R214,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rcat_cn_3,MEASURE_ET_DC_RF_CF_S21_Mag_L1018,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_DC_RF_Vbin_gd,FIC_ET_DC_RF_Vbgd1,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_KLV_F_M1_4u,MEASURE_ET_RF_Modeling_Gm_max_W,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_HIRS,SIN_ET_DC_RF_Vg_optt3,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_Ids_min_ON,MEASURE_ET_HIRS,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_PIV_Ids0_QP1,MEASURE_ET_LT_SEC_Id_min_mA_mm,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_RD_S11ang_18GHz,MEASURE_ET_DC_RD_S11dB_18GHz,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first,FMESA_ET_Vbkd,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_RF_Vbgs_0p01,SIN_ET_DC_RF_Vg_optt3,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_RF_Modeling_Gm_max_W,THIN_ET_DC_RF_Vg_gm_max,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_Diode_S11_dB_forw,THIN_ET_DC_RF_n_gd,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_Stress_Gm_max_after,FIC_ET_DC_RF_Idss,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_R_660_HOR,MEASURE_ET_DC_SEC_Id_gm_max,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_TF_AB_2,TOPSIN_ET_C300_0,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Rc_cat_ct2,ANODE_ET_Ran_con_1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_lkg_SY07_10,THIN_ET_DC_RF_Vbgs_0p01,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_Gm_m2,MEASURE_ET_HIRS,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_DC_PIV_Drain_Lag_1,TOPSIN_ET_Gate_res,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_C100S1,MEASURE_ET_RF_Modeling_Id_search,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_R_f_tn_1,TOPSIN_ET_Rc_OG142_GN,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_RF_Gm_max,MEASURE_ET_DC_RF_CF_S11_Ph_L1018,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_DC_RF_Vbgs_0p01,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_DC_RF_Vbgs_0p01,TOPSIN_ET_lkg_C300,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
EBCR2_Ali_Litho_Gate_to_ohmic_alignment,THIN_ET_lkg_100_at20V,A_high_x_high+D_v3_multichannel_corroborated,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_RF_Modeling_Id_gm_max_W,SIN_ET_DC_PIV_Idss_QP1,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_lkg_Cap1,TOPSIN_ET_lkg_C175pf,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_RF_Vbin_gd,MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Vbgs_0p1,TOPSIN_ET_R114,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_DC_RF_Vbgs_0p01,MEASURE_ET_lkg_Cap2,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_Big_Vg_max_Vd,MEASURE_ET_DC_SEC_X_Ig_cut3_mAmm_pos,M1_nonadditivity_outlier_within_medium+M3_tree_path_cooccurrence_medium_only,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S22dB_26GHz,MEASURE_ET_DC_Stress_Gm_max_after,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Cap_C300,MEASURE_ET_Rc_TF_AB_2,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_Imax,MEASURE_ET_RF_Modeling_Id_search,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Load_Pull_ID_comp_Last_mA,FIC_ET_DC_RF_Gm_max,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_DC_Stress_Id_stress_after,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
THIN_ET_lkg_50_at20V,TOPSIN_ET_lkg_Cap1,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
BRGM_ET_lkg_SY8_80,MEASURE_ET_HIRS,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_Bad_Gates,ANODE_ET_Ran_con_1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_RF_Vbgd_0p1,MEASURE_ET_lkg_C300M1B,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_Stress_Id_max_Ig_after,FIN_FIN_Alignment_FIN_to_ohmic_alignment,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_RF_Modeling_Gm_max_W,MEASURE_ET_DC_SEC_Idss,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_RF_Imax,MEASURE_ET_DC_SEC_X_Id_plus_Ig_at_Vboff_mA_mm_FPSD3p2,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_R414,MEASURE_ET_HIRS,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_RF_CF_S22_Ph_L1018,MEASURE_ET_C300FM1,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_SEC_Vp_1mA,MEASURE_ET_lkg_100_at20V,A_high_x_high+D_v3_multichannel_corroborated,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
CATHODE_ET_Rc_cat_ct2_OW_ST,TOPSIN_ET_DC_SMALL_Gm_max,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_Rc_OG142_GN,MEASURE_ET_C100C500pf,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_Load_Pull_ID_comp_Last_mA,TOPSIN_ET_DC_SMALL_Vbgs_0p01,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_Cap_C300,MEASURE_ET_DC_SEC_X_Vp_1_mA_mm_first_SD3p5,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_C_CAT_2,ANODE_ET_Probe_Number,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_C_CAT_2,MEASURE_ET_DC_RF2_S22dB_26GHz,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIN_FIN_Alignment_FIN_to_ohmic_alignment,MEASURE_ET_DC_SEC_X_Ig_cut1_mAmm_pos,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
TOPSIN_ET_DC_SMALL_Vbgs_0p1,MEASURE_ET_DC_RF_S22ang_10GHz,M1_nonadditivity_outlier_within_medium+M2_dual_broadscore_corroboration,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
FIC_ET_DC_PIV_Gate_Lag_0,SIN_ET_DC_RF_Vbin_gd,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
BRGM_ET_i5021_1,SIN_ET_DC_RF_Vbgs_0p1,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_DC_SMALL_Vbgs_0p1,FIC_ET_DC_RF_Gm_max,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_C100C300pf,FIC_ET_DC_RF_Vbin_gs,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_C100Cap3pf,MEASURE_ET_DC_SEC_X_Ids_max_norm_SD3p5,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_lkg_C300,MEASURE_ET_lkg_C300FB,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_C300M1B,FIC_ET_DC_RF_Vbgd_0p1,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
ANODE_ET_Ran_con_1,THIN_ET_lkg_5,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_RF_Modeling_Gm_max_W,MEASURE_ET_DC_Stress_Vg_gm_max_after,M1_nonadditivity_outlier_within_medium+M6_both_nonlinear_evidenced,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
TOPSIN_ET_lkg_Cap_USV,MEASURE_ET_DC_Diode_Rs_9p5,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_C100S1,MEASURE_ET_R_f_tn_1,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
THIN_ET_lkg_50_at20V,THIN_ET_lkg_C300,M1_nonadditivity_outlier_within_medium+M4_shared_interaction_neighborhood,2,v5_medium_x_medium,MEDIUM_EVIDENCE,MEDIUM_EVIDENCE
MEASURE_ET_DC_RF_S11ang_10GHz,SIN_GATE_ET_lkg_SY8_80,A_high_x_high+D_v3_multichannel_corroborated,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
FIC_ET_DC_PIV_Drain_Lag_1,MEASURE_ET_DC_PIV_Drain_Lag_0,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
MEASURE_ET_DC_Diode_Rs_9p5,TOPSIN_ET_lkg_SY07_10,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
CATHODE_ET_Rcat_cn_2,FIC_ET_DC_RF_Imax,A_high_x_high+E_spline_strong_v3_underrepresented,2,v4_reused,HIGH_EVIDENCE,HIGH_EVIDENCE
